,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for,Immediate possession
0,"2 BHK in Adhisri Apartments, Nungambakkam","Loyola College, Nelson Manickam Road, Nungambakkam, Chennai",31000,250000,1200,Semi Furnished,>10 years ,All,Ready to Move
1,"3 BHK in Appaswamy Platina, Porur","Appaswamy Platina, Porur, Chennai",35000,200000,1708,Semi Furnished,Newly Constructed,Family,Ready to Move
2,"3 BHK in Sham SGS Apartment, Vaanagaram","No, 04, Rajan Kuppam Road, Gangai Amman Koil St, Ayanambakkam, Va ...",17000,150000,1350,Semi Furnished,Newly Constructed,All,Ready to Move
3,"3 BHK in Siri, Perungudi","Omr Road, Kottivakkam, Near Indian Oil Petrol Pump",30000,100000,1600,Semi Furnished,3-5 years ,Family,Ready to Move
4,"2 BHK in Parijatham illam, West Mambalam",Ramakrishnapuram Near B K Sweets ( Lakshmi Vilas Bank Atm),14500,96000,700,Semi Furnished,>10 years ,Family,Ready to Move
5,"1 RK in Sri Jaya Mangala Nivas, T Nagar","Thirumalai Pillai Road, T. Nagar, Darmapuram",10000,75000,300,Semi Furnished,>10 years ,All,Ready to Move
6,"3 BHK in Sky Dugar Homes, Kil Ayanambakkam","Rajan Kuppam Road, Off Vanagaram-ambattur Road ( Behind Srivari K ...",22000,250000,1664,Semi Furnished,Newly Constructed,Family,Ready to Move
7,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",21500,150000,1548,Semi Furnished,1-3 years ,All,Ready to Move
8,3 BHK in Adyar,"Independent House, Ramasamy Ave",35000,250000,1600,Semi Furnished,5-10 years ,Family,Ready to Move
9,"3 BHK in Dlf Gardencity, Semmancheri","Dlf Gardencity, Semmancheri, Thalambur",17500,150000,2067,Semi Furnished,3-5 years ,Family,Ready to Move
10,"2 BHK in L.R. Homes A Block, Sholinganallur","Sathyavani Muthu Street, Near Gateway The Complete School",20000,60000,1069,Full Furnished,3-5 years ,Bachelors,Ready to Move
11,"3 BHK in Sky Dugar Homes, Kil Ayanambakkam","Rajan Kuppam Road, Off Vanagaram-ambattur Road ( Behind Srivari K ...",22000,250000,1664,Semi Furnished,Newly Constructed,Family,Ready to Move
12,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",21500,150000,1548,Semi Furnished,1-3 years ,All,Ready to Move
13,3 BHK in Adyar,"Independent House, Ramasamy Ave",35000,250000,1600,Semi Furnished,5-10 years ,Family,Ready to Move
14,"3 BHK in Dlf Gardencity, Semmancheri","Dlf Gardencity, Semmancheri, Thalambur",17500,150000,2067,Semi Furnished,3-5 years ,Family,Ready to Move
15,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",35000,210000,2244,Semi Furnished,1-3 years ,Family,20-Feb-2019
16,"2 BHK in Bhagyyam Lake, Keelkattalai, Chennai, Tamil Nadu, India","200 Feet Rd, Balamurugan Nagar, Veeramani Nagar, Near State Bank ...",21000,276000,1270,Semi Furnished,3-5 years ,All,Ready to Move
17,2 BHK in Sembakkam,"Independent House, Hasthinapuram Bus Terminus, B.h.e.l Nagar, Kri ...",11000,55000,1100,Semi Furnished,5-10 years ,Family,Ready to Move
18,"3 BHK in Meenakshi Nivas, Chitlapakkam","Hasthinapuram, Mc Nagar, !st Main Road, Near Sathguru Sri Vibooth ...",16000,75000,1123,Semi Furnished,1-3 years ,Family,01-Mar-2019
19,"1 RK in Sri Jaya Mangala Nivas, T Nagar","Thirumalai Pillai Road, T. Nagar, Darmapuram",10000,75000,300,Semi Furnished,>10 years ,All,Ready to Move
20,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",35000,210000,2244,Semi Furnished,1-3 years ,Family,20-Feb-2019
21,"3 BHK in Sams Court, Arumbakkam","Panchali Amman Koil Street , Near Flyers Badminton Academy And Pa ...",21000,100000,1400,Semi Furnished,>10 years ,Family,Ready to Move
22,2 BHK in Anna Nagar East,"Standalone Building, Nilgiri's, Block K, Anna Nagar East, Chennai ...",25000,250000,1650,Semi Furnished,5-10 years ,All,Ready to Move
23,"2 BHK in Platinum premises, Anna Nagar West","Padma Super Market, 18th Main Road, Kambar Colony, Thiruvalluvar ...",22000,220000,928,Semi Furnished,>10 years ,Family,Ready to Move
24,"3 BHK in Casagrand Elan, Semmancheri","Casagrand Elan Rd, Semmancheri, Chennai, Tamil Nadu 600130, India ...",18000,100000,1565,Semi Furnished,Newly Constructed,All,Ready to Move
25,2 BHK in Valasaravakkam,"Independent House, Mega Mart, Veerappa Nagar, Alwartirunagar, Val ...",20000,200000,1500,Semi Furnished,>10 years ,All,Ready to Move
26,"3 BHK in PS Srijan Nexterra, Sithalapakkam","Perumbakkam Main Road, Nookampalayam, Arasankazhani, Sithalapakka ...",18500,100000,1175,Semi Furnished,Newly Constructed,All,Ready to Move
27,"3 BHK in SaiRanga, Kodambakkam","Trustpuram Near Sai Vedashram, 6th Cross St, Kodambakkam, Chennai ...",30000,200000,1300,Semi Furnished,3-5 years ,Family,15-Mar-2019
28,"2 BHK in Nanganallur, Chennai, Tamil Nadu, India","Independent House, Balaji Nagar, 10th Street",15000,100000,900,Semi Furnished,>10 years ,Family,Ready to Move
29,"3 BHK in Bhoga Terrace, Kattupakkam","Rajeshwari Street, Kattupakkam, Near Sai Baba Temple",25000,175000,2000,Semi Furnished,Newly Constructed,Family,Ready to Move
30,"3 BHK in Ramaniyam Gallery, Thiruvanmiyur","Thiruvalluvar Nagar, Near Thiruvidhi Amman Koil St, Thiruvalluvar ...",38000,200000,1670,UnFurnished,>10 years ,Company,25-Mar-2019
31,2 BHK in Kolathur,"Independent House, D R J Hospital, Senthil Nagar, Kolathur, Chenn ...",11000,100000,1500,Semi Furnished,5-10 years ,All,Ready to Move
32,"2 BHK in Embassy Residency, Sholinganallur","Hcl Technologies, Sholinganallur, Chennai",25000,100000,1150,Full Furnished,3-5 years ,All,Ready to Move
33,"3 BHK in Saraswathi Symphony, Adyar","Gandhi Nagar Club Swimming Pool, 1st Crescent Park Road, Gandhi N ...",55000,500000,1805,Semi Furnished,3-5 years ,All,Ready to Move
34,"2 BHK in sripriya's sahana, Virugambakkam","Near More Supermarket, Kaliamman Koil Street, Natesa Nagar, Virug ...",17000,100000,1000,UnFurnished,3-5 years ,Family,Ready to Move
35,"2 BHK in Santhosh Villa, Keelkattalai","Kumaran Nagar, Near Mother's World Super Market",13500,70000,1000,UnFurnished,1-3 years ,Family,Ready to Move
36,2 BHK in Valasaravakkam,"Independent House, Karpaga Vinayagar Colony, Near Devi Academy Se ...",13500,75000,1050,Semi Furnished,>10 years ,Family,Ready to Move
37,"2 BHK in NOT DISCLOSED, KK Nagar, Chennai, Tamil Nadu, India","Near To Axis Bank Atm 277, Munusamy Salai Kk Nagar West, Nesapak ...",16000,160000,700,UnFurnished,>10 years ,All,Ready to Move
38,"2 BHK in DLF Garden City, Semmancheri",Thalambur Near Psbb Millennium School,15000,90000,1212,Semi Furnished,Newly Constructed,Family,Ready to Move
39,"2 BHK in North Town, Jamalia, Chennai, Tamil Nadu, India","Stephenson Road, Near Buckingham & Carnatic Gardens, Binny Garden ...",24000,250000,1022,Semi Furnished,Newly Constructed,All,Ready to Move
40,"2 BHK in NOT DISCLOSED, KK Nagar, Chennai, Tamil Nadu, India","Near To Axis Bank Atm 277, Munusamy Salai Kk Nagar West, Nesapak ...",16000,160000,700,UnFurnished,>10 years ,All,Ready to Move
41,"2 BHK in DLF Garden City, Semmancheri",Thalambur Near Psbb Millennium School,15000,90000,1212,Semi Furnished,Newly Constructed,Family,Ready to Move
42,"2 BHK in North Town, Jamalia, Chennai, Tamil Nadu, India","Stephenson Road, Near Buckingham & Carnatic Gardens, Binny Garden ...",24000,250000,1022,Semi Furnished,Newly Constructed,All,Ready to Move
43,"2 BHK in J J Homes, Velachery","Gandhi Nagar, Near The Chennai Silks",19000,150000,1070,Semi Furnished,Newly Constructed,Family,Ready to Move
44,"2 BHK in Nanganallur, Chennai, Tamil Nadu, India","Independent House, Balaji Nagar, 10th Street",15000,100000,900,Semi Furnished,>10 years ,Family,Ready to Move
45,"3 BHK in PS Srijan Nexterra, Sithalapakkam","Perumbakkam Main Road, Nookampalayam, Arasankazhani, Sithalapakka ...",18500,100000,1175,Semi Furnished,Newly Constructed,All,Ready to Move
46,"3 BHK in Karpagambal Apartments, Raja Annamalai Puram","2nd Main Rd, Near Health And Glow",42000,420000,1350,Semi Furnished,>10 years ,Family,01-Apr-2019
47,"3 BHK in SaiRanga, Kodambakkam","Trustpuram Near Sai Vedashram, 6th Cross St, Kodambakkam, Chennai ...",30000,200000,1300,Semi Furnished,3-5 years ,Family,15-Mar-2019
